Symbol,Identifier,Company,ISIN,Sector,Processed_Company
STARHEALTH,STARHEALTHEQN,Star Health and Allied Insurance Company Limited,INE575P01011,NIFTY MIDCAP 150,star health and allied
SOLARINDS,SOLARINDSEQN,Solar Industries India Limited,INE343H01029,NIFTY MIDCAP 150,solar industries india
SCHAEFFLER,SCHAEFFLEREQN,Schaeffler India Limited,INE513A01022,NIFTY MIDCAP 150,schaeffler india
METROBRAND,METROBRANDEQN,Metro Brands Limited,INE317I01021,NIFTY MIDCAP 150,metro brands
ISEC,ISECEQN,ICICI Securities Limited,INE763G01038,NIFTY MIDCAP 150,icici securities
MANYAVAR,MANYAVAREQN,Vedant Fashions Limited,INE825V01034,NIFTY MIDCAP 150,vedant fashions
CARBORUNIV,CARBORUNIVEQN,Carborundum Universal Limited,INE120A01034,NIFTY MIDCAP 150,carborundum universal
EMAMILTD,EMAMILTDEQN,Emami Limited,INE548C01032,NIFTY MIDCAP 150,emami
ABBOTINDIA,ABBOTINDIAEQN,Abbott India Limited,INE358A01014,NIFTY MIDCAP 150,abbott india
CRISIL,CRISILEQN,CRISIL Limited,INE007A01025,NIFTY MIDCAP 150,crisil
MSUMI,MSUMIEQN,Motherson Sumi Wiring India Limited,INE0FS801015,NIFTY MIDCAP 150,motherson sumi wiring india
NIACL,NIACLEQN,The New India Assurance Company Limited,INE470Y01017,NIFTY MIDCAP 150,the new india assurance
SUNDRMFAST,SUNDRMFASTEQN,Sundram Fasteners Limited,INE387A01021,NIFTY MIDCAP 150,sundram fasteners
GODREJIND,GODREJINDEQN,Godrej Industries Limited,INE233A01035,NIFTY MIDCAP 150,godrej industries
SUNDARMFIN,SUNDARMFINEQN,Sundaram Finance Limited,INE660A01013,NIFTY MIDCAP 150,sundaram finance
SKFINDIA,SKFINDIAEQN,SKF India Limited,INE640A01023,NIFTY MIDCAP 150,skf india
KAJARIACER,KAJARIACEREQN,Kajaria Ceramics Limited,INE217B01036,NIFTY MIDCAP 150,kajaria ceramics
KANSAINER,KANSAINEREQN,Kansai Nerolac Paints Limited,INE531A01024,NIFTY MIDCAP 150,kansai nerolac paints
BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028,NIFTY MIDCAP 150,bata india
PGHH,PGHHEQN,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,NIFTY MIDCAP 150,procter gamble hygiene and health care
HONAUT,HONAUTEQN,Honeywell Automation India Limited,INE671A01010,NIFTY MIDCAP 150,honeywell automation india
ATUL,ATULEQN,Atul Limited,INE100A01010,NIFTY MIDCAP 150,atul
KEI,KEIEQN,KEI Industries Limited,INE878B01027,NIFTY MIDCAP 150,kei industries
ZFCVINDIA,ZFCVINDIAEQN,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,NIFTY MIDCAP 150,zf commercial vehicle control systems india
3MINDIA,3MINDIAEQN,3M India Limited,INE470A01017,NIFTY MIDCAP 150,3m india
GRINDWELL,GRINDWELLEQN,Grindwell Norton Limited,INE536A01023,NIFTY MIDCAP 150,grindwell norton
COROMANDEL,COROMANDELEQN,Coromandel International Limited,INE169A08010,NIFTY MIDCAP 150,coromandel international
AJANTPHARM,AJANTPHARMEQN,Ajanta Pharma Limited,INE031B01049,NIFTY MIDCAP 150,ajanta pharma
PHOENIXLTD,PHOENIXLTDEQN,The Phoenix Mills Limited,INE211B01039,NIFTY MIDCAP 150,the phoenix mills
THERMAX,THERMAXEQN,Thermax Limited,INE152A01029,NIFTY MIDCAP 150,thermax
