,Symbol,Identifier,Company,ISIN
138,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013
139,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020
140,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025
141,MRF,MRFEQN,MRF Limited,INE883A01011
142,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017
143,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017
144,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020
145,PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022
146,GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030
147,IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8
148,OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027
149,FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029
150,PAYTM,PAYTMEQN,One 97 Communications Limited,INE982J01020
151,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020
152,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018
153,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029
154,PEL,PELEQN,Piramal Enterprises Limited,INE140A01024
155,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016
156,PIIND,PIINDEQN,PI Industries Limited,INE603J01030
157,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017
158,SJVN,SJVNEQN,SJVN Limited,INE002L01015
159,DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028
160,LAURUSLABS,LAURUSLABSEQN,Laurus Labs Limited,INE947Q01028
161,LTF,LTFEQN,L&T Finance Limited,INE498L01015
162,BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026
163,INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016
164,JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018
165,BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014
166,GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039
167,NMDC,NMDCEQN,NMDC Limited,INE584A01023
168,OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010
169,SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011
170,DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020
171,AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017
172,LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026
173,ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013
174,TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010
175,TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013
176,UPL,UPLEQN,UPL Limited,INE628A03016
177,IDBI,IDBIEQN,IDBI Bank Limited,INE008A08267
178,POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C07698
179,SUPREMEIND,SUPREMEINDEQN,Supreme Industries Limited,INE195A01028
180,CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025
181,DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025
182,ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014
183,NHPC,NHPCEQN,NHPC Limited,INE848E07542
184,LUPIN,LUPINEQN,Lupin Limited,INE326A01037
185,MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010
186,APOLLOTYRE,APOLLOTYREEQN,Apollo Tyres Limited,INE438A01022
187,ASTRAL,ASTRALEQN,Astral Limited,INE006I01046
188,VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021
189,TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012
190,CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020
191,IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038
192,ZEEL,ZEELEQN,Zee Entertainment Enterprises Limited,INE256A04022
193,PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014
194,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014
195,LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024
196,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037
197,BIOCON,BIOCONEQN,Biocon Limited,INE376G01013
198,PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035
199,ACC,ACCEQN,ACC Limited,INE012A01025
200,INDIANB,INDIANBEQN,Indian Bank,INE562A01011
201,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017
202,TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021
203,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026
204,APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027
205,TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012
206,IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027
207,MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014
208,ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016
209,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3
210,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021
211,FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018
