title,url,type
Australia warns of malicious websites after cyber outage,https://www.moneycontrol.com/news/world/australia-warns-of-malicious-websites-after-cyber-outage-12773516.html,World
JPMorgan says majority of ATMs operating normally amid outages,https://www.moneycontrol.com/news/world/jpmorgan-says-majority-of-atms-operating-normally-amid-outages-12773515.html,World
"Democracy remains at risk in Guatemala, says UN human rights chief",https://www.moneycontrol.com/news/world/democracy-remains-at-risk-in-guatemala-says-un-human-rights-chief-12773514.html,World
Meta content moderation vendors hit by global cyber outage,https://www.moneycontrol.com/news/world/meta-content-moderation-vendors-hit-by-global-cyber-outage-12773508.html,World
Houthis attacked Singapore-flagged vessel in Gulf of Aden,https://www.moneycontrol.com/news/world/houthis-attacked-singapore-flagged-vessel-in-gulf-of-aden-12773509.html,World
"As Bangladesh reels under deadly clashes, 245 Indians return home",https://www.moneycontrol.com/news/world/as-bangladesh-reels-under-deadly-clashes-245-indians-return-home-12773469.html,World
Biden 'absolutely' staying in US presidential race: Campaign chair,https://www.moneycontrol.com/news/world/biden-absolutely-staying-in-us-presidential-race-campaign-chair-12773416.html,World
UAE supermarket introduces UPI payments across outlets countrywide,https://www.moneycontrol.com/news/business/uae-supermarket-introduces-upi-payments-across-outlets-countrywide-12773389.html,World
Violence in Leeds: Political blame game erupts as riots cause havoc,https://www.moneycontrol.com/news/world/violence-in-leeds-political-blame-game-erupts-as-riots-cause-havoc-12773372.html,World
CrowdStrike founder and CEO George Kurtz 'deeply sorry' for the outage,https://www.moneycontrol.com/news/business/crowdstrike-founder-and-ceo-george-kurtz-deeply-sorry-for-the-outage-12773354.html,World
Russian court jails US reporter Gershkovich for 16 years after convicting him of espionage,https://www.moneycontrol.com/news/world/russian-court-jails-us-reporter-gershkovich-for-16-years-after-convicting-him-of-espionage-12773340.html,World
"Vietnam's Trong, longtime leader and advocate of 'bamboo diplomacy', dies",https://www.moneycontrol.com/news/world/vietnams-trong-longtime-leader-and-advocate-of-bamboo-diplomacy-dies-12773257.html,World
Netweb Technologies Q1 profit jumps over 3-fold to Rs 15.4 crore,https://www.moneycontrol.com/news/business/earnings/netweb-technologies-q1-profit-jumps-over-3-fold-to-rs-15-4-crore-12773805.html,Companies
Reliance records resilient operating and financial performance for Q1; here are top 10 key highlights,https://www.moneycontrol.com/news/business/earnings/reliance-records-resilient-operating-and-financial-performance-for-q1-here-are-top-10-key-highlights-12773442.html,Companies
"Reliance Retail Q1: Gross revenue up 8.1% at Rs 75,615 crore",https://www.moneycontrol.com/news/business/earnings/reliance-retail-q1-results-update-gross-revenue-rises-to-rs-75615-crore-12773005.html,Companies
Ramping up to help our clients: CEO Pallia on CrowdStrike outage,https://www.moneycontrol.com/technology/ramping-up-to-help-our-clients-ceo-pallia-on-crowdstrike-outage-article-12773385.html,Companies
"Reliance Industries Q1 earnings: Revenue climbs 11.5%, boosted by telecom, retail, and oil & gas businesses",https://www.moneycontrol.com/news/business/earnings/reliance-industries-q1-earnings-revenue-climbs-11-5-boosted-by-telecom-retail-and-oil-gas-businesses-12772226.html,Companies
Wipro ADR falls over 10% after Q1 revenue misses estimates,https://www.moneycontrol.com/news/business/earnings/wipro-adr-falls-8-after-q1-revenue-misses-estimates-12773225.html,Companies
"The Reading List: July 19, 2024",https://www.moneycontrol.com/news/opinion/the-reading-list-july-19-2024-12773291.html,Companies
"Wipro Q1 Results: Net profit up 4.6% on-year to Rs 3,003 crore; guidance raised",https://www.moneycontrol.com/news/business/earnings/wipro-q1-results-net-profit-revenue-update-fy25-growth-guidance-12772974.html,Companies
HDFC Bank CSR spend crosses Rs 945 crore in FY24,https://www.moneycontrol.com/news/business/hdfc-bank-csr-spend-crosses-rs-945-crore-in-fy24-12772913.html,Companies
KPI Green Energy gets new 100 MW hybrid project,https://www.moneycontrol.com/news/business/kpi-green-energy-gets-new-100-mw-hybrid-project-12772911.html,Companies
Zydus Lifesciences gets USFDA nod for diabetes drug,https://www.moneycontrol.com/news/business/zydus-lifesciences-gets-usfda-nod-for-diabetes-drug-12772807.html,Companies
"Ramkrishna Titagarh Rail nearing financial closure for Rs 2,180 crore forged wheels project",https://www.moneycontrol.com/news/business/ramkrishna-titagarh-rail-nearing-financial-closure-for-rs-2180-crore-forged-wheels-project-12772777.html,Companies
"Q1 Results 2024 Highlights: PVR INOX's net loss widens to Rs 176 crore, revenue slips",https://www.moneycontrol.com/news/business/earnings/q1-results-2024-live-hdfc-bank-wipro-paytm-reliance-bpcl-to-declare-earnings-today-liveblog-12772625.html,Companies
SpiceJet board to consider raising fresh capital via QIP on July 23,https://www.moneycontrol.com/news/business/spicejet-board-to-consider-raising-fresh-capital-via-qip-on-july-23-12772632.html,Companies
Vedanta Resources pays $246 million dues to help revive operations at Zambian copper mine,https://www.moneycontrol.com/news/business/vedanta-resources-pays-246-million-dues-to-help-revive-operations-at-zambian-copper-mine-12772555.html,Companies
Infosys Q1 FY25 – Does all-round strength make the stock worthy of fresh allocation?,https://www.moneycontrol.com/news/business/markets/infosys-q1-fy25-does-all-round-strength-make-the-stock-worthy-of-fresh-allocation-12772474.html,Companies
Citigroup sees India luring $100 billion in foreign investment,https://www.moneycontrol.com/news/business/citigroup-sees-india-luring-100-billion-in-foreign-investment-12772399.html,Companies
"Infosys aims to expand margin through automation, strategic hiring",https://www.moneycontrol.com/news/business/earnings/infosys-aims-to-expand-margin-through-automation-strategic-hiring-12772296.html,Companies
