Symbol,Identifier,Company,ISIN,Sector,Processed_Company
BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY NEXT 50,bajaj holdings investment
ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010,NIFTY NEXT 50,adani energy solutions
HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY NEXT 50,hindustan aeronautics
MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY NEXT 50,marico
IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561,NIFTY NEXT 50,indian railway finance corporation
ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027,NIFTY NEXT 50,zydus lifesciences
IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY NEXT 50,indian railway catering and tourism corporation
SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016,NIFTY NEXT 50,sbi cards and payment services
TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028,NIFTY NEXT 50,torrent pharmaceuticals
ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019,NIFTY NEXT 50,icici prudential life
GODREJCP,GODREJCPEQN,Godrej Consumer Products Limited,INE102D01028,NIFTY NEXT 50,godrej consumer products
DABUR,DABUREQN,Dabur India Limited,INE016A01026,NIFTY NEXT 50,dabur india
UNITDSPR,UNITDSPREQN,United Spirits Limited,INE854D01024,NIFTY NEXT 50,united spirits
SRF,SRFEQN,SRF Limited,INE647A01010,NIFTY NEXT 50,srf
BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038,NIFTY NEXT 50,berger paints i
ATGL,ATGLEQN,Adani Total Gas Limited,INE399L01023,NIFTY NEXT 50,adani total gas
PIDILITIND,PIDILITINDEQN,Pidilite Industries Limited,INE318A01026,NIFTY NEXT 50,pidilite industries
COLPAL,COLPALEQN,Colgate Palmolive (India) Limited,INE259A01022,NIFTY NEXT 50,colgate palmolive india
ADANIGREEN,ADANIGREENEQN,Adani Green Energy Limited,INE364U01010,NIFTY NEXT 50,adani green energy
ICICIGI,ICICIGIEQN,ICICI Lombard General Insurance Company Limited,INE765G01017,NIFTY NEXT 50,icici lombard
DMART,DMARTEQN,Avenue Supermarts Limited,INE192R01011,NIFTY NEXT 50,avenue supermarts
LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY MIDCAP 50,lt finance
NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY MIDCAP 50,nmdc
AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY MIDCAP 50,aurobindo pharma
MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY MIDCAP 50,max healthcare institute
PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022,NIFTY MIDCAP 50,page industries
ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY MIDCAP 50,aditya birla capital
SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY MIDCAP 50,steel authority of india
IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY MIDCAP 50,vodafone idea
BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY MIDCAP 50,bharat heavy electricals
M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D01024,NIFTY MIDCAP 50,mahindra mahindra financial services
OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027,NIFTY MIDCAP 50,oracle financial services software
LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY MIDCAP 50,lupin
INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A08081,NIFTY MIDCAP 50,the indian hotels
ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY MIDCAP 50,ashok leyland
IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CH5,NIFTY MIDCAP 50,idfc first bank
PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY MIDCAP 50,petronet lng
TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY MIDCAP 50,tata communications
GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY MIDCAP 50,gmr airports infrastructure
BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A01025,NIFTY MIDCAP 50,bharat forge
GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY MIDCAP 50,godrej properties
CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY MIDCAP 50,container corporation of india
BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY MIDCAP 50,balkrishna industries
ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY MIDCAP 50,acc
DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY MIDCAP 50,dixon technologies india
JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY MIDCAP 50,jubilant foodworks
ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY MIDCAP 50,alkem laboratories
INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY MIDCAP 50,indus towers
OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY MIDCAP 50,oberoi realty
ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY MIDCAP 50,escorts kubota
HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE094A01015,NIFTY MIDCAP 50,hindustan petroleum corporation
TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY MIDCAP 50,tube investments of india
MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY MIDCAP 50,mphasis
ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY MIDCAP 50,astral
BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY MIDCAP 50,bandhan bank
LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017,NIFTY MIDCAP 50,lt technology services
CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY MIDCAP 50,cummins india
UPL,UPLEQN,UPL Limited,INE628A03024,NIFTY MIDCAP 50,upl
PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY MIDCAP 50,pi industries
MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020,NIFTY MIDCAP 50,max financial services
POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017,NIFTY MIDCAP 50,polycab india
COFORGE,COFORGEEQN,Coforge Limited,INE591G01017,NIFTY MIDCAP 50,coforge
MRF,MRFEQN,MRF Limited,INE883A01011,NIFTY MIDCAP 50,mrf
PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021,NIFTY MIDCAP 50,persistent systems
FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029,NIFTY MIDCAP 50,the federal bank
AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017,NIFTY MIDCAP 50,au small finance bank
HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025,NIFTY MIDCAP 50,hdfc asset management
SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021,NIFTY MIDCAP 50,suzlon energy
DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025,NIFTY MIDCAP 50,dalmia bharat
GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030,NIFTY MIDCAP 50,gujarat gas
YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035,NIFTY MIDCAP 50,yes bank
CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029,NIFTY MIDCAP 100,cg power and industrial solutions
KALYANKJIL,KALYANKJILEQN,Kalyan Jewellers India Limited,INE303R01014,NIFTY MIDCAP 100,kalyan jewellers india
PRESTIGE,PRESTIGEEQN,Prestige Estates Projects Limited,INE811K01011,NIFTY MIDCAP 100,prestige estates projects
LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026,NIFTY MIDCAP 100,lic housing finance
ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016,NIFTY MIDCAP 100,aditya birla fashion and retail
M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3,NIFTY MIDCAP 100,mahindra mahindra financial services
KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011,NIFTY MIDCAP 100,kpit technologies
PEL,PELEQN,Piramal Enterprises Limited,INE140A01024,NIFTY MIDCAP 100,piramal enterprises
INDIANB,INDIANBEQN,Indian Bank,INE562A01011,NIFTY MIDCAP 100,indian bank
JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018,NIFTY MIDCAP 100,jsw energy
INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016,NIFTY MIDCAP 100,the indian hotels
IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8,NIFTY MIDCAP 100,idfc first bank
DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028,NIFTY MIDCAP 100,delhivery
FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015,NIFTY MIDCAP 100,fertilizers and chemicals travancore
TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021,NIFTY MIDCAP 100,torrent power
BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020,NIFTY MIDCAP 100,bharat forge
VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021,NIFTY MIDCAP 100,voltas
FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018,NIFTY MIDCAP 100,fortis healthcare
TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012,NIFTY MIDCAP 100,tata chemicals
IDBI,IDBIEQN,IDBI Bank Limited,INE008A08267,NIFTY MIDCAP 100,idbi bank
IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038,NIFTY MIDCAP 100,ipca laboratories
NHPC,NHPCEQN,NHPC Limited,INE848E07542,NIFTY MIDCAP 100,nhpc
HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013,NIFTY MIDCAP 100,hindustan petroleum corporation
TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012,NIFTY MIDCAP 100,tata elxsi
LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024,NIFTY MIDCAP 100,dr lal path labs ltd
POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026,NIFTY MIDCAP 100,pb fintech
POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C07698,NIFTY MIDCAP 100,poonawalla fincorp
UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016,NIFTY MIDCAP 100,union bank of india
