Symbol,Identifier,Company,ISIN,Sector
IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CH5,NIFTY MIDCAP 50
PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY MIDCAP 50
TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY MIDCAP 50
GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY MIDCAP 50
BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A01025,NIFTY MIDCAP 50
GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY MIDCAP 50
CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY MIDCAP 50
BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY MIDCAP 50
ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY MIDCAP 50
DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY MIDCAP 50
JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY MIDCAP 50
ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY MIDCAP 50
INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY MIDCAP 50
OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY MIDCAP 50
ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY MIDCAP 50
HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE094A01015,NIFTY MIDCAP 50
TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY MIDCAP 50
MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY MIDCAP 50
ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY MIDCAP 50
BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY MIDCAP 50
LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017,NIFTY MIDCAP 50
CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY MIDCAP 50
UPL,UPLEQN,UPL Limited,INE628A03024,NIFTY MIDCAP 50
PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY MIDCAP 50
MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020,NIFTY MIDCAP 50
POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017,NIFTY MIDCAP 50
COFORGE,COFORGEEQN,Coforge Limited,INE591G01017,NIFTY MIDCAP 50
MRF,MRFEQN,MRF Limited,INE883A01011,NIFTY MIDCAP 50
PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021,NIFTY MIDCAP 50
