Symbol,Identifier,Company,ISIN,Sector
LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017,NIFTY TOTAL MARKET
BLUEJET,BLUEJETEQN,Blue Jet Healthcare Limited,INE0KBH01020,NIFTY TOTAL MARKET
JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018,NIFTY TOTAL MARKET
NCC,NCCEQN,NCC Limited,INE868B01028,NIFTY TOTAL MARKET
BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039,NIFTY TOTAL MARKET
LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY TOTAL MARKET
LLOYDSME,LLOYDSMEEQN,Lloyds Metals And Energy Limited,INE281B01032,NIFTY TOTAL MARKET
INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016,NIFTY TOTAL MARKET
LAOPALA,LAOPALAEQN,La Opala RG Limited,INE059D01020,NIFTY TOTAL MARKET
ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY TOTAL MARKET
MUTHOOTFIN,MUTHOOTFINEQN,Muthoot Finance Limited,INE414G07241,NIFTY TOTAL MARKET
RBLBANK,RBLBANKEQN,RBL Bank Limited,INE976G01028,NIFTY TOTAL MARKET
FLAIR,FLAIREQN,Flair Writing Industries Limited,INE00Y201027,NIFTY TOTAL MARKET
SUMICHEM,SUMICHEMEQN,Sumitomo Chemical India Limited,INE258G01013,NIFTY TOTAL MARKET
IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8,NIFTY TOTAL MARKET
PNCINFRA,PNCINFRAEQN,PNC Infratech Limited,INE195J01029,NIFTY TOTAL MARKET
DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028,NIFTY TOTAL MARKET
FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015,NIFTY TOTAL MARKET
HAPPSTMNDS,HAPPSTMNDSEQN,Happiest Minds Technologies Limited,INE419U01012,NIFTY TOTAL MARKET
RECLTD,RECLTDEQN,REC Limited,INE020B07IF7,NIFTY TOTAL MARKET
APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024,NIFTY TOTAL MARKET
ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011,NIFTY TOTAL MARKET
PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY TOTAL MARKET
ORIENTCEM,ORIENTCEMEQN,Orient Cement Limited,INE876N01018,NIFTY TOTAL MARKET
ZFCVINDIA,ZFCVINDIAEQN,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,NIFTY TOTAL MARKET
APARINDS,APARINDSEQN,Apar Industries Limited,INE372A01015,NIFTY TOTAL MARKET
AVALON,AVALONEQN,Avalon Technologies Limited,INE0LCL01028,NIFTY TOTAL MARKET
TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY TOTAL MARKET
MASTEK,MASTEKEQN,Mastek Limited,INE759A01021,NIFTY TOTAL MARKET
INFY,INFYEQN,Infosys Limited,INE009A01021,NIFTY TOTAL MARKET
GLS,GLSEQN,Glenmark Life Sciences Limited,INE03Q201024,NIFTY TOTAL MARKET
JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017,NIFTY TOTAL MARKET
ABB,ABBEQN,ABB India Limited,INE117A01022,NIFTY TOTAL MARKET
JKLAKSHMI,JKLAKSHMIEQN,JK Lakshmi Cement Limited,INE786A01032,NIFTY TOTAL MARKET
RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018,NIFTY TOTAL MARKET
CDSL,CDSLEQN,Central Depository Services (India) Limited,INE736A01011,NIFTY TOTAL MARKET
GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY TOTAL MARKET
ATUL,ATULEQN,Atul Limited,INE100A01010,NIFTY TOTAL MARKET
JKCEMENT,JKCEMENTEQN,JK Cement Limited,INE823G01014,NIFTY TOTAL MARKET
HOMEFIRST,HOMEFIRSTEQN,Home First Finance Company India Limited,INE481N01025,NIFTY TOTAL MARKET
WOCKPHARMA,WOCKPHARMABEN,Wockhardt Limited,INE049B01025,NIFTY TOTAL MARKET
HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014,NIFTY TOTAL MARKET
DCAL,DCALEQN,Dishman Carbogen Amcis Limited,INE385W01011,NIFTY TOTAL MARKET
VARROC,VARROCEQN,Varroc Engineering Limited,INE665L01035,NIFTY TOTAL MARKET
360ONE,360ONEEQN,360 ONE WAM LIMITED,INE466L01038,NIFTY TOTAL MARKET
CELLO,CELLOEQN,Cello World Limited,INE0LMW01024,NIFTY TOTAL MARKET
LXCHEM,LXCHEMEQN,Laxmi Organic Industries Limited,INE576O01020,NIFTY TOTAL MARKET
INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012,NIFTY TOTAL MARKET
GREAVESCOT,GREAVESCOTEQN,Greaves Cotton Limited,INE224A01026,NIFTY TOTAL MARKET
ROUTE,ROUTEEQN,ROUTE MOBILE LIMITED,INE450U01017,NIFTY TOTAL MARKET
J&KBANK,J&KBANKEQN,The Jammu & Kashmir Bank Limited,INE168A01041,NIFTY TOTAL MARKET
BSOFT,BSOFTEQN,BIRLASOFT LIMITED,INE836A01035,NIFTY TOTAL MARKET
VOLTAMP,VOLTAMPEQN,Voltamp Transformers Limited,INE540H01012,NIFTY TOTAL MARKET
INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027,NIFTY TOTAL MARKET
LATENTVIEW,LATENTVIEWEQN,Latent View Analytics Limited,INE0I7C01011,NIFTY TOTAL MARKET
EXIDEIND,EXIDEINDEQN,Exide Industries Limited,INE302A01020,NIFTY TOTAL MARKET
TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,NIFTY TOTAL MARKET
JSWHL,JSWHLEQN,JSW Holdings Limited,INE824G01012,NIFTY TOTAL MARKET
TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021,NIFTY TOTAL MARKET
ASKAUTOLTD,ASKAUTOLTDEQN,ASK Automotive Limited,INE491J01022,NIFTY TOTAL MARKET
CHALET,CHALETEQN,Chalet Hotels Limited,INE427F01016,NIFTY TOTAL MARKET
SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015,NIFTY TOTAL MARKET
RAILTEL,RAILTELEQN,Railtel Corporation Of India Limited,INE0DD101019,NIFTY TOTAL MARKET
BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020,NIFTY TOTAL MARKET
VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021,NIFTY TOTAL MARKET
FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018,NIFTY TOTAL MARKET
IDFC,IDFCEQN,IDFC Limited,INE043D07AE5,NIFTY TOTAL MARKET
GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY TOTAL MARKET
ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024,NIFTY TOTAL MARKET
ICIL,ICILEQN,Indo Count Industries Limited,INE483B01026,NIFTY TOTAL MARKET
GATEWAY,GATEWAYEQN,Gateway Distriparks Limited,INE079J01017,NIFTY TOTAL MARKET
CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY TOTAL MARKET
CIPLA,CIPLAEQN,Cipla Limited,INE059A01026,NIFTY TOTAL MARKET
SCHAEFFLER,SCHAEFFLEREQN,Schaeffler India Limited,INE513A01022,NIFTY TOTAL MARKET
HCC,HCCEQN,Hindustan Construction Company Limited,INE549A01026,NIFTY TOTAL MARKET
SHILPAMED,SHILPAMEDEQN,Shilpa Medicare Limited,INE790G01031,NIFTY TOTAL MARKET
CIGNITITEC,CIGNITITECEQN,Cigniti Technologies Limited,INE675C01017,NIFTY TOTAL MARKET
HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027,NIFTY TOTAL MARKET
GAIL,GAILEQN,GAIL (India) Limited,INE129A01019,NIFTY TOTAL MARKET
GULFOILLUB,GULFOILLUBEQN,Gulf Oil Lubricants India Limited,INE635Q01029,NIFTY TOTAL MARKET
BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY TOTAL MARKET
RAIN,RAINEQN,Rain Industries Limited,INE855B01025,NIFTY TOTAL MARKET
AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034,NIFTY TOTAL MARKET
ENDURANCE,ENDURANCEEQN,Endurance Technologies Limited,INE913H01037,NIFTY TOTAL MARKET
HINDOILEXP,HINDOILEXPEQN,Hindustan Oil Exploration Company Limited,INE345A01011,NIFTY TOTAL MARKET
AAVAS,AAVASEQN,Aavas Financiers Limited,INE216P01012,NIFTY TOTAL MARKET
ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY TOTAL MARKET
GLENMARK,GLENMARKEQN,Glenmark Pharmaceuticals Limited,INE935A01035,NIFTY TOTAL MARKET
ISEC,ISECEQN,ICICI Securities Limited,INE763G01038,NIFTY TOTAL MARKET
AWL,AWLEQN,Adani Wilmar Limited,INE699H01024,NIFTY TOTAL MARKET
STYLAMIND,STYLAMINDEQN,Stylam Industries Limited,INE239C01020,NIFTY TOTAL MARKET
CHAMBLFERT,CHAMBLFERTEQN,Chambal Fertilizers & Chemicals Limited,INE085A01013,NIFTY TOTAL MARKET
DLF,DLFEQN,DLF Limited,INE271C01023,NIFTY TOTAL MARKET
KAJARIACER,KAJARIACEREQN,Kajaria Ceramics Limited,INE217B01036,NIFTY TOTAL MARKET
SWSOLAR,SWSOLAREQN,Sterling and Wilson Renewable Energy Limited,INE00M201021,NIFTY TOTAL MARKET
CUB,CUBEQN,City Union Bank Limited,INE491A01021,NIFTY TOTAL MARKET
WESTLIFE,WESTLIFEEQN,WESTLIFE FOODWORLD LIMITED,INE274F01020,NIFTY TOTAL MARKET
EPIGRAL,EPIGRALEQN,Epigral Limited,INE071N01016,NIFTY TOTAL MARKET
JUBLPHARMA,JUBLPHARMAEQN,Jubilant Pharmova Limited,INE700A01033,NIFTY TOTAL MARKET
NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024,NIFTY TOTAL MARKET
SEQUENT,SEQUENTEQN,Sequent Scientific Limited,INE807F01027,NIFTY TOTAL MARKET
TITAN,TITANEQN,Titan Company Limited,INE280A07025,NIFTY TOTAL MARKET
PSPPROJECT,PSPPROJECTEQN,PSP Projects Limited,INE488V01015,NIFTY TOTAL MARKET
KIRLOSENG,KIRLOSENGEQN,Kirloskar Oil Engines Limited,INE146L01010,NIFTY TOTAL MARKET
BAJAJHIND,BAJAJHINDEQN,Bajaj Hindusthan Sugar Limited,INE306A01021,NIFTY TOTAL MARKET
TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012,NIFTY TOTAL MARKET
PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY TOTAL MARKET
HBLPOWER,HBLPOWEREQN,HBL Power Systems Limited,INE292B01021,NIFTY TOTAL MARKET
JAICORPLTD,JAICORPLTDEQN,Jai Corp Limited,INE070D01027,NIFTY TOTAL MARKET
IDBI,IDBIEQN,IDBI Bank Limited,INE008A08267,NIFTY TOTAL MARKET
GAEL,GAELEQN,Gujarat Ambuja Exports Limited,INE036B01030,NIFTY TOTAL MARKET
BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052,NIFTY TOTAL MARKET
SAGCEM,SAGCEMEQN,Sagar Cements Limited,INE229C01021,NIFTY TOTAL MARKET
DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY TOTAL MARKET
WELSPUNLIV,WELSPUNLIVEQN,Welspun Living Limited,INE192B01031,NIFTY TOTAL MARKET
SUNTECK,SUNTECKEQN,Sunteck Realty Limited,INE805D01034,NIFTY TOTAL MARKET
SURYAROSNI,SURYAROSNIEQN,Surya Roshni Limited,INE335A01020,NIFTY TOTAL MARKET
DHANI,DHANIEQN,Dhani Services Limited,INE274G01010,NIFTY TOTAL MARKET
RELIGARE,RELIGAREEQN,Religare Enterprises Limited,INE621H01010,NIFTY TOTAL MARKET
MINDACORP,MINDACORPEQN,Minda Corporation Limited,INE842C01021,NIFTY TOTAL MARKET
DCXINDIA,DCXINDIABEN,DCX Systems Limited,INE0KL801015,NIFTY TOTAL MARKET
POWERINDIA,POWERINDIAEQN,Hitachi Energy India Limited,INE07Y701011,NIFTY TOTAL MARKET
KPIL,KPILEQN,Kalpataru Projects International Limited,INE220B01022,NIFTY TOTAL MARKET
LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019,NIFTY TOTAL MARKET
SUPRIYA,SUPRIYAEQN,Supriya Lifescience Limited,INE07RO01027,NIFTY TOTAL MARKET
CONFIPET,CONFIPETEQN,Confidence Petroleum India Limited,INE552D01024,NIFTY TOTAL MARKET
SENCO,SENCOEQN,Senco Gold Limited,INE602W01019,NIFTY TOTAL MARKET
BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY TOTAL MARKET
POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010,NIFTY TOTAL MARKET
TARC,TARCBEN,Anant Raj Global Limited,INE0EK901012,NIFTY TOTAL MARKET
MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010,NIFTY TOTAL MARKET
TI,TIEQN,Tilaknagar Industries Limited,INE133E01013,NIFTY TOTAL MARKET
BALMLAWRIE,BALMLAWRIEEQN,Balmer Lawrie & Company Limited,INE164A01016,NIFTY TOTAL MARKET
ELECON,ELECONEQN,Elecon Engineering Company Limited,INE205B01031,NIFTY TOTAL MARKET
HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013,NIFTY TOTAL MARKET
RKFORGE,RKFORGEEQN,Ramkrishna Forgings Limited,INE399G01023,NIFTY TOTAL MARKET
RAMKY,RAMKYEQN,Ramky Infrastructure Limited,INE874I01013,NIFTY TOTAL MARKET
IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038,NIFTY TOTAL MARKET
BEML,BEMLEQN,BEML Limited,INE258A01016,NIFTY TOTAL MARKET
PGEL,PGELEQN,PG Electroplast Limited,INE457L01029,NIFTY TOTAL MARKET
HAPPYFORGE,HAPPYFORGEEQN,Happy Forgings Limited,INE330T01021,NIFTY TOTAL MARKET
EDELWEISS,EDELWEISSEQN,Edelweiss Financial Services Limited,INE532F01054,NIFTY TOTAL MARKET
IFBIND,IFBINDEQN,IFB Industries Limited,INE559A01017,NIFTY TOTAL MARKET
KFINTECH,KFINTECHEQN,Kfin Technologies Limited,INE138Y01010,NIFTY TOTAL MARKET
PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY TOTAL MARKET
JMFINANCIL,JMFINANCILEQN,JM Financial Limited,INE780C01023,NIFTY TOTAL MARKET
JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY TOTAL MARKET
SIGNATURE,SIGNATUREEQN,Signatureglobal (India) Limited,INE903U01023,NIFTY TOTAL MARKET
ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY TOTAL MARKET
CMSINFO,CMSINFOEQN,CMS Info Systems Limited,INE925R01014,NIFTY TOTAL MARKET
MMTC,MMTCEQN,MMTC Limited,INE123F01029,NIFTY TOTAL MARKET
GHCL,GHCLEQN,GHCL Limited,INE539A01019,NIFTY TOTAL MARKET
TRENT,TRENTEQN,Trent Limited,INE849A13017,NIFTY TOTAL MARKET
NHPC,NHPCEQN,NHPC Limited,INE848E07542,NIFTY TOTAL MARKET
BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A13011,NIFTY TOTAL MARKET
SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024,NIFTY TOTAL MARKET
JKPAPER,JKPAPEREQN,JK Paper Limited,INE789E01012,NIFTY TOTAL MARKET
INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY TOTAL MARKET
OLECTRA,OLECTRAEQN,Olectra Greentech Limited,INE260D01016,NIFTY TOTAL MARKET
TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY TOTAL MARKET
GODREJAGRO,GODREJAGROEQN,Godrej Agrovet Limited,INE850D01014,NIFTY TOTAL MARKET
HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027,NIFTY TOTAL MARKET
AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY TOTAL MARKET
MUTHOOTMF,MUTHOOTMFEQN,Muthoot Microfin Limited,INE046W01019,NIFTY TOTAL MARKET
MRPL,MRPLEQN,Mangalore Refinery and Petrochemicals Limited,INE103A04018,NIFTY TOTAL MARKET
OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY TOTAL MARKET
MGL,MGLEQN,Mahanagar Gas Limited,INE002S01010,NIFTY TOTAL MARKET
BOMDYEING,BOMDYEINGEQN,Bombay Dyeing & Mfg Company Limited,INE032A01023,NIFTY TOTAL MARKET
IRCON,IRCONEQN,Ircon International Limited,INE962Y01021,NIFTY TOTAL MARKET
BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028,NIFTY TOTAL MARKET
ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY TOTAL MARKET
CEATLTD,CEATLTDEQN,CEAT Limited,INE482A01020,NIFTY TOTAL MARKET
HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013,NIFTY TOTAL MARKET
THOMASCOOK,THOMASCOOKEQN,Thomas Cook  (India)  Limited,INE332A04021,NIFTY TOTAL MARKET
RATNAMANI,RATNAMANIEQN,Ratnamani Metals & Tubes Limited,INE703B01027,NIFTY TOTAL MARKET
TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012,NIFTY TOTAL MARKET
BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026,NIFTY TOTAL MARKET
CARERATING,CARERATINGEQN,CARE Ratings Limited,INE752H01013,NIFTY TOTAL MARKET
UFLEX,UFLEXEQN,UFLEX Limited,INE516A01017,NIFTY TOTAL MARKET
BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY TOTAL MARKET
AETHER,AETHEREQN,Aether Industries Limited,INE0BWX01014,NIFTY TOTAL MARKET
KOLTEPATIL,KOLTEPATILEQN,Kolte - Patil Developers Limited,INE094I01018,NIFTY TOTAL MARKET
LUXIND,LUXINDEQN,Lux Industries Limited,INE150G01020,NIFTY TOTAL MARKET
ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010,NIFTY TOTAL MARKET
TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022,NIFTY TOTAL MARKET
IKIO,IKIOEQN,IKIO Lighting Limited,INE0LOJ01019,NIFTY TOTAL MARKET
ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021,NIFTY TOTAL MARKET
TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY TOTAL MARKET
DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051,NIFTY TOTAL MARKET
HEMIPROP,HEMIPROPEQN,Hemisphere Properties India Limited,INE0AJG01018,NIFTY TOTAL MARKET
RATEGAIN,RATEGAINEQN,Rategain Travel Technologies Limited,INE0CLI01024,NIFTY TOTAL MARKET
HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY TOTAL MARKET
MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY TOTAL MARKET
ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY TOTAL MARKET
MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY TOTAL MARKET
AFFLE,AFFLEEQN,Affle (India) Limited,INE00WC01027,NIFTY TOTAL MARKET
RESPONIND,RESPONINDEQN,Responsive Industries Limited,INE688D01026,NIFTY TOTAL MARKET
RELINFRA,RELINFRAEQN,Reliance Infrastructure Limited,INE036A01016,NIFTY TOTAL MARKET
CAMS,CAMSEQN,Computer Age Management Services Limited,INE596I01012,NIFTY TOTAL MARKET
ANGELONE,ANGELONEEQN,Angel One Limited,INE732I01013,NIFTY TOTAL MARKET
IPL,IPLEQN,India Pesticides Limited,INE0D6701023,NIFTY TOTAL MARKET
PRINCEPIPE,PRINCEPIPEEQN,Prince Pipes And Fittings Limited,INE689W01016,NIFTY TOTAL MARKET
TV18BRDCST,TV18BRDCSTEQN,TV18 Broadcast Limited,INE886H01027,NIFTY TOTAL MARKET
JUSTDIAL,JUSTDIALEQN,Just Dial Limited,INE599M01018,NIFTY TOTAL MARKET
NETWEB,NETWEBEQN,Netweb Technologies India Limited,INE0NT901020,NIFTY TOTAL MARKET
GUJALKALI,GUJALKALIEQN,Gujarat Alkalies and Chemicals Limited,INE186A01019,NIFTY TOTAL MARKET
BEPL,BEPLEQN,Bhansali Engineering Polymers Limited,INE922A01025,NIFTY TOTAL MARKET
LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024,NIFTY TOTAL MARKET
INDIAMART,INDIAMARTEQN,Indiamart Intermesh Limited,INE933S01016,NIFTY TOTAL MARKET
NSLNISP,NSLNISPEQN,NMDC Steel Limited,INE0NNS01018,NIFTY TOTAL MARKET
SANGHVIMOV,SANGHVIMOVEQN,Sanghvi Movers Limited,INE989A01024,NIFTY TOTAL MARKET
ITC,ITCEQN,ITC Limited,INE154A01025,NIFTY TOTAL MARKET
BECTORFOOD,BECTORFOODEQN,Mrs. Bectors Food Specialities Limited,INE495P01012,NIFTY TOTAL MARKET
CGCL,CGCLEQN,Capri Global Capital Limited,INE180C01042,NIFTY TOTAL MARKET
ORISSAMINE,ORISSAMINEEQN,The Orissa Minerals Development Company Limited,INE725E01024,NIFTY TOTAL MARKET
SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A04014,NIFTY TOTAL MARKET
EQUITASBNK,EQUITASBNKEQN,Equitas Small Finance Bank Limited,INE063P01018,NIFTY TOTAL MARKET
BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY TOTAL MARKET
PRAJIND,PRAJINDEQN,Praj Industries Limited,INE074A01025,NIFTY TOTAL MARKET
IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561,NIFTY TOTAL MARKET
ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027,NIFTY TOTAL MARKET
ABBOTINDIA,ABBOTINDIAEQN,Abbott India Limited,INE358A01014,NIFTY TOTAL MARKET
IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY TOTAL MARKET
SANSERA,SANSERAEQN,Sansera Engineering Limited,INE953O01021,NIFTY TOTAL MARKET
SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016,NIFTY TOTAL MARKET
ARVIND,ARVINDEQN,Arvind Limited,INE034A01011,NIFTY TOTAL MARKET
LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017,NIFTY TOTAL MARKET
STLTECH,STLTECHEQN,Sterlite Technologies Limited,INE089C01029,NIFTY TOTAL MARKET
APTUS,APTUSEQN,Aptus Value Housing Finance India Limited,INE852O01025,NIFTY TOTAL MARKET
BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011,NIFTY TOTAL MARKET
PVRINOX,PVRINOXEQN,PVR INOX Limited,INE191H01014,NIFTY TOTAL MARKET
SOUTHBANK,SOUTHBANKEQN,The South Indian Bank Limited,INE683A01023,NIFTY TOTAL MARKET
CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY TOTAL MARKET
KEI,KEIEQN,KEI Industries Limited,INE878B01027,NIFTY TOTAL MARKET
NESCO,NESCOEQN,Nesco Limited,INE317F01035,NIFTY TOTAL MARKET
DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024,NIFTY TOTAL MARKET
IRB,IRBEQN,IRB Infrastructure Developers Limited,INE821I01022,NIFTY TOTAL MARKET
BAYERCROP,BAYERCROPEQN,Bayer Cropscience Limited,INE462A01022,NIFTY TOTAL MARKET
EMIL,EMILEQN,Electronics Mart India Limited,INE02YR01019,NIFTY TOTAL MARKET
TIPSINDLTD,TIPSINDLTDEQN,TIPS Industries Limited,INE716B01029,NIFTY TOTAL MARKET
MAPMYINDIA,MAPMYINDIAEQN,C.E. Info Systems Limited,INE0BV301023,NIFTY TOTAL MARKET
KARURVYSYA,KARURVYSYAEQN,Karur Vysya Bank Limited,INE036D01028,NIFTY TOTAL MARKET
TIRUMALCHM,TIRUMALCHMEQN,Thirumalai Chemicals Limited,INE338A01024,NIFTY TOTAL MARKET
NETWORK18,NETWORK18EQN,Network18 Media & Investments Limited,INE870H13018,NIFTY TOTAL MARKET
CAMLINFINE,CAMLINFINEEQN,Camlin Fine Sciences Limited,INE052I01032,NIFTY TOTAL MARKET
TANLA,TANLAEQN,Tanla Platforms Limited,INE483C01032,NIFTY TOTAL MARKET
ZENTEC,ZENTECEQN,Zen Technologies Limited,INE251B01027,NIFTY TOTAL MARKET
MEDANTA,MEDANTAEQN,Global Health Limited,INE474Q01031,NIFTY TOTAL MARKET
METROPOLIS,METROPOLISEQN,Metropolis Healthcare Limited,INE112L01020,NIFTY TOTAL MARKET
DBCORP,DBCORPEQN,D.B.Corp Limited,INE950I01011,NIFTY TOTAL MARKET
POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026,NIFTY TOTAL MARKET
POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C07698,NIFTY TOTAL MARKET
UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016,NIFTY TOTAL MARKET
CRISIL,CRISILEQN,CRISIL Limited,INE007A01025,NIFTY TOTAL MARKET
TRIVENI,TRIVENIEQN,Triveni Engineering & Industries Limited,INE256C01024,NIFTY TOTAL MARKET
REDTAPE,REDTAPEEQN,Redtape Limited,INE0LXT01019,NIFTY TOTAL MARKET
UPL,UPLEQN,UPL Limited,INE628A03016,NIFTY TOTAL MARKET
HMAAGRO,HMAAGROEQN,HMA Agro Industries Limited,INE0ECP01024,NIFTY TOTAL MARKET
TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028,NIFTY TOTAL MARKET
ZENSARTECH,ZENSARTECHEQN,Zensar Technologies Limited,INE520A01027,NIFTY TOTAL MARKET
RENUKA,RENUKAEQN,Shree Renuka Sugars Limited,INE087H01022,NIFTY TOTAL MARKET
JPPOWER,JPPOWEREQN,Jaiprakash Power Ventures Limited,INE351F01018,NIFTY TOTAL MARKET
PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY TOTAL MARKET
SYNGENE,SYNGENEEQN,Syngene International Limited,INE398R01022,NIFTY TOTAL MARKET
PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035,NIFTY TOTAL MARKET
MIDHANI,MIDHANIEQN,Mishra Dhatu Nigam Limited,INE099Z01011,NIFTY TOTAL MARKET
MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020,NIFTY TOTAL MARKET
COCHINSHIP,COCHINSHIPEQN,Cochin Shipyard Limited,INE704P01025,NIFTY TOTAL MARKET
NFL,NFLEQN,National Fertilizers Limited,INE870D01012,NIFTY TOTAL MARKET
MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014,NIFTY TOTAL MARKET
