,Symbol,Identifier,Company,ISIN,Sector
96,ADANIGREEN,ADANIGREENEQN,Adani Green Energy Limited,INE364U01010,NIFTY NEXT 50
97,SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016,NIFTY NEXT 50
98,UNITDSPR,UNITDSPREQN,United Spirits Limited,INE854D01024,NIFTY NEXT 50
99,DMART,DMARTEQN,Avenue Supermarts Limited,INE192R01011,NIFTY NEXT 50
100,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020,NIFTY MIDCAP 50
101,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY MIDCAP 50
102,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY MIDCAP 50
103,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY MIDCAP 50
104,PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY MIDCAP 50
105,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY MIDCAP 50
106,LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY MIDCAP 50
107,BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY MIDCAP 50
108,INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016,NIFTY MIDCAP 50
109,BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY MIDCAP 50
110,GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY MIDCAP 50
111,NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY MIDCAP 50
112,OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY MIDCAP 50
113,SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY MIDCAP 50
114,DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY MIDCAP 50
115,AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017,NIFTY MIDCAP 50
116,ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY MIDCAP 50
